FSL,Lane,Intervention,FacilityNumber,SampleType,MilkTypeSpec,MilkType,TimePoint,Stress,PlateType,Class,Order,Family,Genus,Species
FSL L8-2089,1,intervention,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Pseudomonas,sp.
FSL L8-2090,1,intervention,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Paenibacillus,sp.
FSL L8-2091,1,intervention,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Pseudomonas,sp.
FSL L8-2092,2,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,Bacillales,,,
FSL L8-2093,2,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Staphylococcus,sp.
FSL L8-2094,2,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Paenibacillus,sp.
FSL L8-2095,2,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,,
FSL L8-2096,2,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Pseudomonas,sp.
FSL L8-2097,3,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Bacillus,sp.
FSL L8-2098,3,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Paenibacillus,sp.
FSL L8-2099,3,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Pseudomonas,sp.
FSL L8-2100,3,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Paenibacillus,sp.
FSL L8-2101,3,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Bacillus,sp.
FSL L8-2102,3,control,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Pseudomonas,sp.
FSL L8-2103,4,intervention,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,,
FSL L8-2104,4,intervention,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Leuconostoc,sp.
FSL L8-2105,4,intervention,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Pseudomonas,sp.
FSL L8-2106,4,intervention,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Pseudomonas,sp.
FSL L8-2107,4,intervention,4,Fat Free Chocolate,CS,Chocolate,End,no,SPC,,,,Bacillus,sp.
FSL L8-2108,,,4,inlineMilk,,,,no,SPC,,,,,
FSL L8-2109,,,4,inlineMilk,,,,no,SPC,,,,,
FSL L8-2110,,,4,inlineMilk,,,,no,CVTA,,,,Pseudomonas,sp.
FSL L8-2239,1,,1,Sponge,,,,no,SPC,,,,Staphylococcus,sp.
FSL L8-2240,1,,1,Sponge,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2241,1,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2242,1,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2243,1,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2244,1,,1,Milk,,,,no,SPC,,,,,
FSL L8-2245,2,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2246,2,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2247,2,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2248,2,,1,Milk,,,,no,SPC,,,,,
FSL L8-2249,2,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2250,2,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2251,2,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2252,2,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2253,3,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2254,3,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2255,3,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2256,3,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2257,3,,1,Milk,,,,no,SPC,,,Micrococcaceae,,
FSL L8-2258,3,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2259,4,,1,Sponge,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-2260,4,,1,Sponge,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-2261,4,,1,Sponge,,,,no,SPC,,,,Sphingobium,sp.
FSL L8-2262,4,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2263,4,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2264,4,,1,Milk,,,,no,SPC,Bacilli,,,,
FSL L8-2265,4,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2266,4,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2267,4,,1,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2268,4,,1,Milk,,,,no,SPC,,,,Streptococcus,sp.
FSL L8-2269,2,,3,Sponge,,,,no,SPC,,,Enterobacteriaceae,,
FSL L8-2270,2,,3,Sponge,,,,no,SPC,,,Micrococcaceae,,
FSL L8-2271,2,,3,Sponge,,,,no,SPC,,,Enterobacteriaceae,,
FSL L8-2272,2,,3,Sponge,,,,no,CVTA,,,Enterobacteriaceae,,
FSL L8-2273,2,,3,Milk,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-2274,2,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2275,2,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2276,2,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2277,2,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2278,2,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2279,2,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2280,2,,3,Milk,,,,no,CVTA,,,,Pseudomonas,sp.
FSL L8-2281,2,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2282,2,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2283,2,,3,Milk,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-2284,2,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2285,2,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2286,2,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2287,1,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2288,1,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2289,1,,3,Milk,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-2290,1,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2291,1,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2292,1,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2293,1,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2294,1,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2295,1,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2296,1,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2297,1,,3,Carton,,,,no,SPC,,,,Staphylococcus,sp.
FSL L8-2298,1,,3,Carton,,,,no,SPC,,,,Staphylococcus,sp.
FSL L8-2299,3,,3,Carton,,,,no,SPC,,,,,
FSL L8-2300,3,,3,Carton,,,,no,SPC,,,Enterobacteriaceae,,
FSL L8-2301,3,,3,Carton,,,,no,CVTA,,,Enterobacteriaceae,,
FSL L8-2302,3,,3,Milk,,,,no,CVTA,,,,Pseudomonas,sp.
FSL L8-2303,3,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2304,3,,3,Milk,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-2305,3,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2306,3,,3,Milk,,,,no,CVTA,,,,Pseudomonas,sp.
FSL L8-2307,1,,3,Milk,,,,no,CVTA,,,,Pseudomonas,sp.
FSL L8-2308,2,,3,Carton,,,,no,SPC,,,,Staphylococcus,sp.
FSL L8-2309,2,,3,Sponge,,,,no,SPC,,,Enterobacteriaceae,,
FSL L8-2310,2,,3,Sponge,,,,no,SPC,,,Micrococcaceae,,
FSL L8-2311,2,,3,Sponge,,,,no,CVTA,,,Enterobacteriaceae,,
FSL L8-2312,2,,3,Sponge,,,,no,SPC,,,Enterobacteriaceae,,
FSL L8-2313,2,,3,Sponge,,,,no,SPC,,,Micrococcaceae,,
FSL L8-2314,2,,3,Sponge,,,,no,CVTA,,,,Staphylococcus,sp.
FSL L8-2315,2,,3,Sponge,,,,no,SPC,,,Micrococcaceae,,
FSL L8-2316,2,,3,Sponge,,,,no,SPC,,,Enterobacteriaceae,,
FSL L8-2317,4,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2318,4,,3,Milk,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-2319,4,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2320,4,,3,Milk,,,,no,CVTA,,,,Pseudomonas,sp.
FSL L8-2321,4,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2322,4,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2323,4,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2324,4,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2325,4,,3,Milk,,,,no,SPC,,,,Staphylococcus,sp.
FSL L8-2326,4,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2327,3,,3,Milk,,,,no,SPC,,,,Staphylococcus,sp.
FSL L8-2328,3,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2329,3,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2330,3,,3,Milk,,,,no,CVTA,,,,Pseudomonas,sp.
FSL L8-2331,3,,3,Milk,,,,no,SPC,,,,Microbacterium,sp.
FSL L8-2332,3,,3,Milk,,,,no,SPC,,,,Pseudomonas,sp.
FSL L8-2333,4,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2334,4,,3,Milk,,,,no,SPC,,,,Bacillus,sp.
FSL L8-2335,3,,3,Carton,,,,no,SPC,,,Enterobacteriaceae,,
FSL L8-2336,3,,3,Carton,,,,no,CVTA,,,Enterobacteriaceae,,
FSL L8-2337,3,,3,Carton,,,,no,SPC,,,,Staphylococcus,sp.
